model,loss_start,loss_end,train_time_s,psnr_noisy,psnr_pred,psnr_gain
baseline_conv,0.02035875804722309,0.0008307352545671165,190.13520363601856,22.239482879638672,31.428375244140625,9.188892364501953
conv_plus_iir_frozen,0.006250658538192511,0.005046982318162918,265.91136860603,22.3013858795166,23.073699951171875,0.7723140716552734
conv_plus_iir_residual,0.007408978417515755,0.0007444783113896847,276.9737556199543,22.157840728759766,30.7875919342041,8.629751205444336
