model,step,loss
baseline_conv,0,0.01378966961055994
baseline_conv,1,0.00987948477268219
baseline_conv,2,0.006863986141979694
baseline_conv,3,0.0064622787758708
baseline_conv,4,0.0070420438423752785
baseline_conv,5,0.007871798239648342
baseline_conv,6,0.008825870230793953
baseline_conv,7,0.007826636545360088
baseline_conv,8,0.007120635826140642
baseline_conv,9,0.00645853579044342
baseline_conv,10,0.006076057441532612
baseline_conv,11,0.005709891673177481
baseline_conv,12,0.005956125445663929
baseline_conv,13,0.006184050347656012
baseline_conv,14,0.006282447371631861
baseline_conv,15,0.0062728626653552055
baseline_conv,16,0.006247576791793108
baseline_conv,17,0.006040359381586313
baseline_conv,18,0.005968763027340174
baseline_conv,19,0.005551454611122608
baseline_conv,20,0.005444760899990797
baseline_conv,21,0.005254246294498444
baseline_conv,22,0.0053481049835681915
baseline_conv,23,0.005160997621715069
baseline_conv,24,0.005266472697257996
baseline_conv,25,0.005243020132184029
baseline_conv,26,0.005160695873200893
baseline_conv,27,0.0050977799110114574
baseline_conv,28,0.004831133410334587
baseline_conv,29,0.0048134820535779
baseline_conv,30,0.004935078322887421
baseline_conv,31,0.0047951047308743
baseline_conv,32,0.004644854925572872
baseline_conv,33,0.004644318483769894
baseline_conv,34,0.004570371471345425
baseline_conv,35,0.0044553522020578384
baseline_conv,36,0.004560273140668869
baseline_conv,37,0.004408542532473803
baseline_conv,38,0.004339573904871941
baseline_conv,39,0.0042913686484098434
baseline_conv,40,0.004177582450211048
baseline_conv,41,0.004186369013041258
baseline_conv,42,0.003947848919779062
baseline_conv,43,0.003986114636063576
baseline_conv,44,0.004015293437987566
baseline_conv,45,0.003962939605116844
baseline_conv,46,0.003863966092467308
baseline_conv,47,0.0037468757946044207
baseline_conv,48,0.0036558713763952255
baseline_conv,49,0.0035912110470235348
baseline_conv,50,0.0036915999371558428
baseline_conv,51,0.0035316641442477703
baseline_conv,52,0.0033890618942677975
baseline_conv,53,0.003424278926104307
baseline_conv,54,0.003308512270450592
baseline_conv,55,0.0033141570165753365
baseline_conv,56,0.003090963698923588
baseline_conv,57,0.0032432640437036753
baseline_conv,58,0.0032319496385753155
baseline_conv,59,0.0029388596303761005
baseline_conv,60,0.0030842027626931667
baseline_conv,61,0.0028230343014001846
baseline_conv,62,0.0027474614325910807
baseline_conv,63,0.0027209012769162655
baseline_conv,64,0.0026534837670624256
baseline_conv,65,0.002543820533901453
baseline_conv,66,0.0026638442650437355
baseline_conv,67,0.0024315810296684504
baseline_conv,68,0.0024225986562669277
baseline_conv,69,0.0025655957870185375
baseline_conv,70,0.0022381849121302366
baseline_conv,71,0.0021669648122042418
baseline_conv,72,0.0021581684704869986
baseline_conv,73,0.002116874326020479
baseline_conv,74,0.0021173052955418825
baseline_conv,75,0.002083946019411087
baseline_conv,76,0.0018978945445269346
baseline_conv,77,0.002171408850699663
baseline_conv,78,0.0019285494927316904
baseline_conv,79,0.002139728982001543
baseline_conv,80,0.0018115208949893713
baseline_conv,81,0.001652883947826922
baseline_conv,82,0.0019023516215384007
baseline_conv,83,0.001689497847110033
baseline_conv,84,0.0017441699746996164
baseline_conv,85,0.0020424926187843084
baseline_conv,86,0.001527134096249938
baseline_conv,87,0.0015320370439440012
baseline_conv,88,0.0016658654203638434
baseline_conv,89,0.0019849406089633703
baseline_conv,90,0.0016141582746058702
baseline_conv,91,0.0014341309433802962
baseline_conv,92,0.001311182975769043
baseline_conv,93,0.0018777367658913136
baseline_conv,94,0.0013527298578992486
baseline_conv,95,0.0013804355403408408
baseline_conv,96,0.0014953487552702427
baseline_conv,97,0.002229945734143257
baseline_conv,98,0.001225445419549942
baseline_conv,99,0.0011728743556886911
baseline_conv,100,0.0012110441457480192
baseline_conv,101,0.001496515003964305
baseline_conv,102,0.0011721467599272728
baseline_conv,103,0.0010997470235452056
baseline_conv,104,0.0011389038991183043
baseline_conv,105,0.00155562162399292
baseline_conv,106,0.0012798008974641562
baseline_conv,107,0.0014218762516975403
baseline_conv,108,0.0011408544378355145
baseline_conv,109,0.0009644268429838121
baseline_conv,110,0.0012323728296905756
baseline_conv,111,0.0017270272364839911
baseline_conv,112,0.0009646813268773258
baseline_conv,113,0.001668343087658286
baseline_conv,114,0.0009728238801471889
baseline_conv,115,0.0014721113257110119
baseline_conv,116,0.0015931830275803804
baseline_conv,117,0.0009639562340453267
baseline_conv,118,0.0009785686852410436
baseline_conv,119,0.0010871789418160915
baseline_conv,120,0.0009193345322273672
baseline_conv,121,0.001504541258327663
baseline_conv,122,0.0008924211142584682
baseline_conv,123,0.002092155395075679
baseline_conv,124,0.0009155453881248832
baseline_conv,125,0.0009143358911387622
baseline_conv,126,0.0014902085531502962
baseline_conv,127,0.0013367192586883903
baseline_conv,128,0.0015346825821325183
baseline_conv,129,0.0013790437951683998
baseline_conv,130,0.0017632340313866735
baseline_conv,131,0.0010095268953591585
baseline_conv,132,0.0007881037890911102
baseline_conv,133,0.0008430099114775658
baseline_conv,134,0.0009664687095209956
baseline_conv,135,0.0010139355435967445
baseline_conv,136,0.0013050499837845564
baseline_conv,137,0.0008038260275498033
baseline_conv,138,0.0009728395380079746
baseline_conv,139,0.0008867096621543169
baseline_conv,140,0.001035887049511075
baseline_conv,141,0.000914709351491183
baseline_conv,142,0.00079978012945503
baseline_conv,143,0.00091729243285954
baseline_conv,144,0.0008415297488681972
baseline_conv,145,0.0013405564241111279
baseline_conv,146,0.0008491887710988522
baseline_conv,147,0.0007774486439302564
baseline_conv,148,0.001394656952470541
baseline_conv,149,0.0013023617211729288
baseline_conv,150,0.002192860469222069
baseline_conv,151,0.0008042951230891049
baseline_conv,152,0.0007421919726766646
baseline_conv,153,0.0008186633931472898
baseline_conv,154,0.0023056971840560436
baseline_conv,155,0.0007883996004238725
baseline_conv,156,0.0014215747360140085
baseline_conv,157,0.0010930837597697973
baseline_conv,158,0.0007766034686937928
baseline_conv,159,0.0012664272217079997
baseline_conv,160,0.000821876572445035
baseline_conv,161,0.0011732225539162755
baseline_conv,162,0.0013794146943837404
baseline_conv,163,0.0008573465747758746
baseline_conv,164,0.0013075816677883267
baseline_conv,165,0.0019690277986228466
baseline_conv,166,0.0007711306097917259
baseline_conv,167,0.0009582798229530454
baseline_conv,168,0.000724150741007179
baseline_conv,169,0.0007345193298533559
baseline_conv,170,0.0007252718787640333
baseline_conv,171,0.0012003483716398478
baseline_conv,172,0.0008187554776668549
baseline_conv,173,0.0010418574092909694
baseline_conv,174,0.0007311856606975198
baseline_conv,175,0.0007870642584748566
baseline_conv,176,0.0010562402894720435
baseline_conv,177,0.0012816200032830238
baseline_conv,178,0.001847800682298839
baseline_conv,179,0.0007207613671198487
conv_plus_iir_frozen,0,0.006816686596721411
conv_plus_iir_frozen,1,0.006012740544974804
conv_plus_iir_frozen,2,0.0064864689484238625
conv_plus_iir_frozen,3,0.0063337297178804874
conv_plus_iir_frozen,4,0.006516290828585625
conv_plus_iir_frozen,5,0.006286064628511667
conv_plus_iir_frozen,6,0.00619320385158062
conv_plus_iir_frozen,7,0.006095282733440399
conv_plus_iir_frozen,8,0.006213752552866936
conv_plus_iir_frozen,9,0.00620664469897747
conv_plus_iir_frozen,10,0.006126478314399719
conv_plus_iir_frozen,11,0.006169223226606846
conv_plus_iir_frozen,12,0.006037342827767134
conv_plus_iir_frozen,13,0.006264634430408478
conv_plus_iir_frozen,14,0.006244189105927944
conv_plus_iir_frozen,15,0.006376950535923243
conv_plus_iir_frozen,16,0.006248202174901962
conv_plus_iir_frozen,17,0.0060145799070596695
conv_plus_iir_frozen,18,0.0063289497047662735
conv_plus_iir_frozen,19,0.006120700389146805
conv_plus_iir_frozen,20,0.005830585956573486
conv_plus_iir_frozen,21,0.006117240525782108
conv_plus_iir_frozen,22,0.006167816463857889
conv_plus_iir_frozen,23,0.0060366480611264706
conv_plus_iir_frozen,24,0.005995269864797592
conv_plus_iir_frozen,25,0.006199171766638756
conv_plus_iir_frozen,26,0.006320731248706579
conv_plus_iir_frozen,27,0.006092552561312914
conv_plus_iir_frozen,28,0.006292602978646755
conv_plus_iir_frozen,29,0.006191141903400421
conv_plus_iir_frozen,30,0.0062708728946745396
conv_plus_iir_frozen,31,0.00614591408520937
conv_plus_iir_frozen,32,0.006205500103533268
conv_plus_iir_frozen,33,0.006183980964124203
conv_plus_iir_frozen,34,0.005992054007947445
conv_plus_iir_frozen,35,0.0062798806466162205
conv_plus_iir_frozen,36,0.006243369076400995
conv_plus_iir_frozen,37,0.005902344826608896
conv_plus_iir_frozen,38,0.00622404832392931
conv_plus_iir_frozen,39,0.00620946753770113
conv_plus_iir_frozen,40,0.0062608132138848305
conv_plus_iir_frozen,41,0.006404008250683546
conv_plus_iir_frozen,42,0.005954930558800697
conv_plus_iir_frozen,43,0.006230299826711416
conv_plus_iir_frozen,44,0.006300002336502075
conv_plus_iir_frozen,45,0.006112548988312483
conv_plus_iir_frozen,46,0.0063293431885540485
conv_plus_iir_frozen,47,0.006050465628504753
conv_plus_iir_frozen,48,0.006165656261146069
conv_plus_iir_frozen,49,0.00621655723080039
conv_plus_iir_frozen,50,0.006073011085391045
conv_plus_iir_frozen,51,0.006183712277561426
conv_plus_iir_frozen,52,0.0058193691074848175
conv_plus_iir_frozen,53,0.006232712417840958
conv_plus_iir_frozen,54,0.006184627301990986
conv_plus_iir_frozen,55,0.005937200039625168
conv_plus_iir_frozen,56,0.006165481172502041
conv_plus_iir_frozen,57,0.006249280646443367
conv_plus_iir_frozen,58,0.005977739114314318
conv_plus_iir_frozen,59,0.006194596644490957
conv_plus_iir_frozen,60,0.005902573000639677
conv_plus_iir_frozen,61,0.006197713315486908
conv_plus_iir_frozen,62,0.00597649859264493
conv_plus_iir_frozen,63,0.00610330980271101
conv_plus_iir_frozen,64,0.006141910795122385
