model,step,loss
baseline_conv,0,0.005699526984244585
baseline_conv,1,0.0052988529205322266
baseline_conv,2,0.0050664604641497135
baseline_conv,3,0.004739360883831978
baseline_conv,4,0.004312898963689804
baseline_conv,5,0.0045087640173733234
baseline_conv,6,0.004240553826093674
baseline_conv,7,0.003988453187048435
baseline_conv,8,0.003582784440368414
baseline_conv,9,0.0035505795385688543
baseline_conv,10,0.003343069227412343
baseline_conv,11,0.0034951067063957453
baseline_conv,12,0.0030142657924443483
baseline_conv,13,0.002848236821591854
baseline_conv,14,0.002456363756209612
baseline_conv,15,0.0025505567900836468
baseline_conv,16,0.0023944065906107426
baseline_conv,17,0.0022242285776883364
baseline_conv,18,0.0020840144716203213
baseline_conv,19,0.0018104678019881248
baseline_conv,20,0.0016941996291279793
baseline_conv,21,0.001524476334452629
baseline_conv,22,0.0013399062445387244
baseline_conv,23,0.0012688024435192347
baseline_conv,24,0.001073888735845685
baseline_conv,25,0.0010742597514763474
baseline_conv,26,0.0009055023547261953
baseline_conv,27,0.0008445759303867817
baseline_conv,28,0.0006941108731552958
baseline_conv,29,0.0006321968394331634
baseline_conv,30,0.0005492785130627453
baseline_conv,31,0.0005221375031396747
baseline_conv,32,0.00047016574535518885
baseline_conv,33,0.0003932078252546489
baseline_conv,34,0.000404096907004714
baseline_conv,35,0.00033646979136392474
baseline_conv,36,0.00032364032813347876
baseline_conv,37,0.00031866863719187677
baseline_conv,38,0.00029812444699928164
baseline_conv,39,0.00028295727679505944
baseline_conv,40,0.00029491365421563387
baseline_conv,41,0.0003287196741439402
baseline_conv,42,0.000294347177259624
baseline_conv,43,0.0003249101573601365
baseline_conv,44,0.00030087961931712925
baseline_conv,45,0.00033872207859531045
baseline_conv,46,0.00030424498254433274
baseline_conv,47,0.00029282819014042616
baseline_conv,48,0.0003234811592847109
baseline_conv,49,0.0003233756870031357
baseline_conv,50,0.00031396799022331834
baseline_conv,51,0.0003260952653363347
baseline_conv,52,0.000311965704895556
baseline_conv,53,0.0002730123233050108
baseline_conv,54,0.0002809836296364665
baseline_conv,55,0.00028289202600717545
baseline_conv,56,0.00025750984787009656
baseline_conv,57,0.0002510490012355149
baseline_conv,58,0.0002661129692569375
baseline_conv,59,0.00025449355598539114
baseline_conv,60,0.000240768538787961
baseline_conv,61,0.0002402426180196926
baseline_conv,62,0.0002961111313197762
baseline_conv,63,0.00026461726520210505
baseline_conv,64,0.0002486712473910302
baseline_conv,65,0.0002538269618526101
baseline_conv,66,0.00026814962620846927
baseline_conv,67,0.00027006928576156497
baseline_conv,68,0.00025477076997049153
baseline_conv,69,0.00027025718009099364
baseline_conv,70,0.0002473328495398164
baseline_conv,71,0.00025129481218755245
baseline_conv,72,0.00023297168081626296
baseline_conv,73,0.0002415914786979556
baseline_conv,74,0.00024065375328063965
baseline_conv,75,0.00024817988742142916
baseline_conv,76,0.00024370862229261547
baseline_conv,77,0.00023794121807441115
baseline_conv,78,0.000255976221524179
baseline_conv,79,0.0003064510819967836
baseline_conv,80,0.00026361719937995076
baseline_conv,81,0.00024673418374732137
baseline_conv,82,0.00024040642892941833
baseline_conv,83,0.00024789461167529225
baseline_conv,84,0.0002492405765224248
baseline_conv,85,0.00026281271129846573
baseline_conv,86,0.0002545556053519249
baseline_conv,87,0.00026008737040683627
baseline_conv,88,0.0002676628064364195
baseline_conv,89,0.00022893704590387642
baseline_conv,90,0.00025262037524953485
baseline_conv,91,0.000247929070610553
baseline_conv,92,0.0002497744280844927
baseline_conv,93,0.0002512478386051953
baseline_conv,94,0.0002128981432178989
baseline_conv,95,0.0002536232059355825
baseline_conv,96,0.00026111037004739046
baseline_conv,97,0.00025696418015286326
baseline_conv,98,0.00022240658290684223
baseline_conv,99,0.0002607397036626935
baseline_conv,100,0.0002498193643987179
baseline_conv,101,0.00023382068320643157
baseline_conv,102,0.0002380529185757041
baseline_conv,103,0.00023496508947573602
baseline_conv,104,0.0002446052967570722
baseline_conv,105,0.00026335829170420766
baseline_conv,106,0.000238772394368425
baseline_conv,107,0.00023887961287982762
baseline_conv,108,0.00022495986195281148
baseline_conv,109,0.00026256879209540784
baseline_conv,110,0.00022057515161577612
baseline_conv,111,0.00026939931558445096
baseline_conv,112,0.0002472318010404706
baseline_conv,113,0.0002515525557100773
baseline_conv,114,0.0002516424865461886
baseline_conv,115,0.0002504837466403842
baseline_conv,116,0.00024964113254100084
baseline_conv,117,0.00023684988263994455
baseline_conv,118,0.00024438719265162945
baseline_conv,119,0.00024148284865077585
baseline_conv,120,0.0002449937746860087
baseline_conv,121,0.00024869199842214584
baseline_conv,122,0.00024460977874696255
baseline_conv,123,0.00026496159262023866
baseline_conv,124,0.00024117683642543852
baseline_conv,125,0.00022939941845834255
baseline_conv,126,0.00022748720948584378
baseline_conv,127,0.00023211784719023854
baseline_conv,128,0.0002560816938057542
baseline_conv,129,0.0002554604725446552
baseline_conv,130,0.0002290518896188587
baseline_conv,131,0.00024011070490814745
baseline_conv,132,0.00025311525678262115
baseline_conv,133,0.00026966811856254935
baseline_conv,134,0.00023132791102398187
baseline_conv,135,0.0002476795925758779
baseline_conv,136,0.00022870241082273424
baseline_conv,137,0.00023537827655673027
baseline_conv,138,0.00025679770624265075
baseline_conv,139,0.0002747967664618045
baseline_conv,140,0.00025899976026266813
baseline_conv,141,0.0002535679377615452
baseline_conv,142,0.0002428609732305631
baseline_conv,143,0.00024073224631138146
baseline_conv,144,0.00025495278532616794
baseline_conv,145,0.00023767122183926404
baseline_conv,146,0.0002427542640361935
baseline_conv,147,0.0002268121752422303
baseline_conv,148,0.00025937421014532447
baseline_conv,149,0.00023264808987732977
baseline_conv,150,0.00024827622110024095
baseline_conv,151,0.00024707883130759
baseline_conv,152,0.00025245180586352944
baseline_conv,153,0.0002516208332963288
baseline_conv,154,0.0002430607855785638
baseline_conv,155,0.0002476752852089703
baseline_conv,156,0.0002519948757253587
baseline_conv,157,0.00027198431780561805
baseline_conv,158,0.00025874178390949965
baseline_conv,159,0.00023236720880959183
baseline_conv,160,0.00025236443616449833
baseline_conv,161,0.0002369494322920218
baseline_conv,162,0.0002510914346203208
baseline_conv,163,0.0002426944556646049
baseline_conv,164,0.0002675401628948748
baseline_conv,165,0.00023339148901868612
baseline_conv,166,0.0002793039311654866
baseline_conv,167,0.0002512893406674266
baseline_conv,168,0.0002291517739649862
baseline_conv,169,0.00023631467774976045
baseline_conv,170,0.0002550075005274266
baseline_conv,171,0.0002501952985767275
baseline_conv,172,0.0002454332134220749
baseline_conv,173,0.0002671611146070063
baseline_conv,174,0.0002578127314336598
baseline_conv,175,0.000250222539762035
baseline_conv,176,0.00025984516832977533
baseline_conv,177,0.0002604742185212672
baseline_conv,178,0.0002450236352160573
baseline_conv,179,0.00024504776229150593
baseline_conv,180,0.00022292917128652334
baseline_conv,181,0.00023980341211427003
baseline_conv,182,0.00026719193556346
baseline_conv,183,0.00026575091760605574
baseline_conv,184,0.00022965931566432118
baseline_conv,185,0.00024807307636365294
baseline_conv,186,0.00021688367996830493
baseline_conv,187,0.0002484012511558831
baseline_conv,188,0.00025734593509696424
baseline_conv,189,0.00024331838358193636
baseline_conv,190,0.00022578975767828524
baseline_conv,191,0.00023160292766988277
baseline_conv,192,0.00024714117171242833
baseline_conv,193,0.00025350964278914034
baseline_conv,194,0.0002234361309092492
baseline_conv,195,0.00024596895673312247
baseline_conv,196,0.00021440605632960796
baseline_conv,197,0.00023976049851626158
baseline_conv,198,0.0002258731983602047
baseline_conv,199,0.00021976249990984797
baseline_conv,200,0.000264343194430694
baseline_conv,201,0.00023184341262094676
baseline_conv,202,0.00027091451920568943
baseline_conv,203,0.0002405638515483588
baseline_conv,204,0.00024775590281933546
baseline_conv,205,0.00026239195722155273
baseline_conv,206,0.00023369825794361532
baseline_conv,207,0.00026030681328848004
baseline_conv,208,0.00026466959388926625
baseline_conv,209,0.0002613925898913294
baseline_conv,210,0.00025336965336464345
baseline_conv,211,0.00025022082263603806
baseline_conv,212,0.00025078438920900226
baseline_conv,213,0.0002417915966361761
baseline_conv,214,0.00025071826530620456
baseline_conv,215,0.00023598788538947701
baseline_conv,216,0.00023298425367102027
baseline_conv,217,0.00021925533656030893
baseline_conv,218,0.00021322560496628284
baseline_conv,219,0.0002514048246666789
baseline_conv,220,0.00028503380599431694
baseline_conv,221,0.0002863149275071919
baseline_conv,222,0.0002375126932747662
baseline_conv,223,0.0002274849102832377
baseline_conv,224,0.00027145998319610953
baseline_conv,225,0.00025524600641801953
baseline_conv,226,0.00025175430346280336
baseline_conv,227,0.0002751409774646163
baseline_conv,228,0.00024335546186193824
baseline_conv,229,0.00024659454356878996
baseline_conv,230,0.0002562992740422487
baseline_conv,231,0.00023394590243697166
baseline_conv,232,0.0002430661697871983
baseline_conv,233,0.00024181522894650698
baseline_conv,234,0.0002561495057307184
baseline_conv,235,0.0002223129995400086
baseline_conv,236,0.0002788110577967018
baseline_conv,237,0.00022879338939674199
baseline_conv,238,0.0002309877600055188
baseline_conv,239,0.00023641389270778745
conv_plus_iir_frozen,0,0.005066743120551109
conv_plus_iir_frozen,1,0.0052691735327243805
conv_plus_iir_frozen,2,0.005315454676747322
conv_plus_iir_frozen,3,0.005253672134131193
conv_plus_iir_frozen,4,0.0052688466385006905
conv_plus_iir_frozen,5,0.005007595755159855
conv_plus_iir_frozen,6,0.0056039998307824135
conv_plus_iir_frozen,7,0.005115965381264687
conv_plus_iir_frozen,8,0.005312042776495218
conv_plus_iir_frozen,9,0.005438989028334618
conv_plus_iir_frozen,10,0.005058362148702145
conv_plus_iir_frozen,11,0.005408315919339657
conv_plus_iir_frozen,12,0.00501320231705904
conv_plus_iir_frozen,13,0.004972768481820822
conv_plus_iir_frozen,14,0.0054776608012616634
conv_plus_iir_frozen,15,0.005428722128272057
conv_plus_iir_frozen,16,0.005469454452395439
conv_plus_iir_frozen,17,0.005389961414039135
conv_plus_iir_frozen,18,0.005400467664003372
conv_plus_iir_frozen,19,0.005231925752013922
conv_plus_iir_frozen,20,0.005011764355003834
conv_plus_iir_frozen,21,0.005342541262507439
conv_plus_iir_frozen,22,0.00509105809032917
conv_plus_iir_frozen,23,0.005089973099529743
conv_plus_iir_frozen,24,0.0051836068741977215
conv_plus_iir_frozen,25,0.005193647928535938
conv_plus_iir_frozen,26,0.00543877761811018
conv_plus_iir_frozen,27,0.00532431248575449
conv_plus_iir_frozen,28,0.004987378604710102
conv_plus_iir_frozen,29,0.005394845735281706
conv_plus_iir_frozen,30,0.005101213231682777
conv_plus_iir_frozen,31,0.004759015515446663
conv_plus_iir_frozen,32,0.005606950260698795
conv_plus_iir_frozen,33,0.0054582832381129265
conv_plus_iir_frozen,34,0.005582703277468681
conv_plus_iir_frozen,35,0.00525749521329999
conv_plus_iir_frozen,36,0.0050292182713747025
conv_plus_iir_frozen,37,0.004989940673112869
conv_plus_iir_frozen,38,0.005112947430461645
conv_plus_iir_frozen,39,0.005057559348642826
conv_plus_iir_frozen,40,0.005254403688013554
conv_plus_iir_frozen,41,0.004994894377887249
conv_plus_iir_frozen,42,0.004972758702933788
conv_plus_iir_frozen,43,0.00520238745957613
conv_plus_iir_frozen,44,0.005360243376344442
conv_plus_iir_frozen,45,0.0049902102909982204
conv_plus_iir_frozen,46,0.005261880345642567
conv_plus_iir_frozen,47,0.005403009243309498
conv_plus_iir_frozen,48,0.005153593607246876
conv_plus_iir_frozen,49,0.005464077461510897
conv_plus_iir_frozen,50,0.005470661446452141
conv_plus_iir_frozen,51,0.005522352643311024
conv_plus_iir_frozen,52,0.005414142739027739
conv_plus_iir_frozen,53,0.005300512071698904
conv_plus_iir_frozen,54,0.004920314531773329
conv_plus_iir_frozen,55,0.0055317869409918785
conv_plus_iir_frozen,56,0.004910081159323454
conv_plus_iir_frozen,57,0.005398092791438103
conv_plus_iir_frozen,58,0.005000181496143341
conv_plus_iir_frozen,59,0.0050450218841433525
conv_plus_iir_frozen,60,0.005267169326543808
conv_plus_iir_frozen,61,0.005152235738933086
conv_plus_iir_frozen,62,0.005429976619780064
conv_plus_iir_frozen,63,0.005172079429030418
conv_plus_iir_frozen,64,0.005244055762887001
conv_plus_iir_frozen,65,0.005183365195989609
conv_plus_iir_frozen,66,0.005203544162213802
conv_plus_iir_frozen,67,0.005327585153281689
conv_plus_iir_frozen,68,0.005136855412274599
conv_plus_iir_frozen,69,0.004916156642138958
conv_plus_iir_frozen,70,0.0054047685116529465
conv_plus_iir_frozen,71,0.005144557449966669
conv_plus_iir_frozen,72,0.005152661353349686
conv_plus_iir_frozen,73,0.005175108090043068
conv_plus_iir_frozen,74,0.005331542808562517
conv_plus_iir_frozen,75,0.005302499979734421
conv_plus_iir_frozen,76,0.005073151551187038
conv_plus_iir_frozen,77,0.004627944901585579
conv_plus_iir_frozen,78,0.005392915569245815
conv_plus_iir_frozen,79,0.005032900720834732
conv_plus_iir_frozen,80,0.005235247313976288
conv_plus_iir_frozen,81,0.005145096220076084
conv_plus_iir_frozen,82,0.005348038859665394
conv_plus_iir_frozen,83,0.005291043780744076
conv_plus_iir_frozen,84,0.005247488617897034
conv_plus_iir_frozen,85,0.005444476846605539
conv_plus_iir_frozen,86,0.005032558925449848
conv_plus_iir_frozen,87,0.00516131054610014
conv_plus_iir_frozen,88,0.004899083636701107
conv_plus_iir_frozen,89,0.00517849950119853
conv_plus_iir_frozen,90,0.005164366215467453
conv_plus_iir_frozen,91,0.005107712000608444
conv_plus_iir_frozen,92,0.0050923884846270084
conv_plus_iir_frozen,93,0.005351472645998001
conv_plus_iir_frozen,94,0.005335128400474787
conv_plus_iir_frozen,95,0.00501603726297617
conv_plus_iir_frozen,96,0.004958588629961014
conv_plus_iir_frozen,97,0.005347645841538906
conv_plus_iir_frozen,98,0.005292174872010946
conv_plus_iir_frozen,99,0.005078686401247978
conv_plus_iir_frozen,100,0.005595304071903229
conv_plus_iir_frozen,101,0.004988453816622496
conv_plus_iir_frozen,102,0.005208930000662804
conv_plus_iir_frozen,103,0.00503991823643446
conv_plus_iir_frozen,104,0.005208803806453943
conv_plus_iir_frozen,105,0.00547040905803442
conv_plus_iir_frozen,106,0.005101550370454788
conv_plus_iir_frozen,107,0.0055681499652564526
conv_plus_iir_frozen,108,0.005337647162377834
conv_plus_iir_frozen,109,0.005001429934054613
conv_plus_iir_frozen,110,0.005242044106125832
conv_plus_iir_frozen,111,0.005240556783974171
conv_plus_iir_frozen,112,0.005397760309278965
conv_plus_iir_frozen,113,0.005244329571723938
conv_plus_iir_frozen,114,0.00505729578435421
conv_plus_iir_frozen,115,0.004884142428636551
conv_plus_iir_frozen,116,0.005448107607662678
conv_plus_iir_frozen,117,0.00490613654255867
conv_plus_iir_frozen,118,0.005155391059815884
conv_plus_iir_frozen,119,0.00475657545030117
conv_plus_iir_frozen,120,0.005392611026763916
conv_plus_iir_frozen,121,0.005380624905228615
conv_plus_iir_frozen,122,0.004799149930477142
conv_plus_iir_frozen,123,0.005350432358682156
conv_plus_iir_frozen,124,0.005385234020650387
conv_plus_iir_frozen,125,0.005518809426575899
conv_plus_iir_frozen,126,0.005034005269408226
conv_plus_iir_frozen,127,0.004874945152550936
conv_plus_iir_frozen,128,0.005037452094256878
conv_plus_iir_frozen,129,0.00513198459520936
conv_plus_iir_frozen,130,0.005002926103770733
conv_plus_iir_frozen,131,0.00478974636644125
conv_plus_iir_frozen,132,0.004748026840388775
conv_plus_iir_frozen,133,0.005066996440291405
conv_plus_iir_frozen,134,0.005450844764709473
conv_plus_iir_frozen,135,0.005096964538097382
conv_plus_iir_frozen,136,0.005202434957027435
conv_plus_iir_frozen,137,0.005421945825219154
conv_plus_iir_frozen,138,0.005349200218915939
conv_plus_iir_frozen,139,0.005311654880642891
conv_plus_iir_frozen,140,0.005182272754609585
conv_plus_iir_frozen,141,0.005177495069801807
conv_plus_iir_frozen,142,0.005008167587220669
conv_plus_iir_frozen,143,0.0052956813015043736
conv_plus_iir_frozen,144,0.005273132119327784
conv_plus_iir_frozen,145,0.005197206512093544
conv_plus_iir_frozen,146,0.005168558564037085
conv_plus_iir_frozen,147,0.005034732632339001
conv_plus_iir_frozen,148,0.0049623241648077965
conv_plus_iir_frozen,149,0.005161901470273733
conv_plus_iir_frozen,150,0.005012075416743755
conv_plus_iir_frozen,151,0.005182917229831219
conv_plus_iir_frozen,152,0.005540551617741585
conv_plus_iir_frozen,153,0.005337967537343502
conv_plus_iir_frozen,154,0.0052390433847904205
conv_plus_iir_frozen,155,0.0052692219614982605
conv_plus_iir_frozen,156,0.005248387344181538
conv_plus_iir_frozen,157,0.005288364365696907
conv_plus_iir_frozen,158,0.005110567435622215
conv_plus_iir_frozen,159,0.00509609142318368
conv_plus_iir_frozen,160,0.005119927693158388
conv_plus_iir_frozen,161,0.005140697583556175
conv_plus_iir_frozen,162,0.004996293690055609
conv_plus_iir_frozen,163,0.005076090805232525
conv_plus_iir_frozen,164,0.004592811223119497
conv_plus_iir_frozen,165,0.005234417971223593
conv_plus_iir_frozen,166,0.0049492111429572105
conv_plus_iir_frozen,167,0.005147061310708523
conv_plus_iir_frozen,168,0.004936447367072105
conv_plus_iir_frozen,169,0.004986919928342104
conv_plus_iir_frozen,170,0.004927917383611202
conv_plus_iir_frozen,171,0.005180902313441038
conv_plus_iir_frozen,172,0.005267873872071505
conv_plus_iir_frozen,173,0.004929800052195787
conv_plus_iir_frozen,174,0.005047783255577087
conv_plus_iir_frozen,175,0.005171541590243578
conv_plus_iir_frozen,176,0.005049414001405239
conv_plus_iir_frozen,177,0.005109676159918308
conv_plus_iir_frozen,178,0.005026869475841522
conv_plus_iir_frozen,179,0.004883750807493925
conv_plus_iir_frozen,180,0.005134827457368374
conv_plus_iir_frozen,181,0.005124504212290049
conv_plus_iir_frozen,182,0.005211311392486095
conv_plus_iir_frozen,183,0.00510659022256732
conv_plus_iir_frozen,184,0.005199357867240906
conv_plus_iir_frozen,185,0.005135947838425636
conv_plus_iir_frozen,186,0.004859908949583769
conv_plus_iir_frozen,187,0.004937248770147562
conv_plus_iir_frozen,188,0.00513997208327055
conv_plus_iir_frozen,189,0.00463083665817976
conv_plus_iir_frozen,190,0.005050435662269592
conv_plus_iir_frozen,191,0.005253880750387907
conv_plus_iir_frozen,192,0.005117591470479965
conv_plus_iir_frozen,193,0.005228635389357805
conv_plus_iir_frozen,194,0.0051465509459376335
conv_plus_iir_frozen,195,0.005214722827076912
conv_plus_iir_frozen,196,0.005087279714643955
conv_plus_iir_frozen,197,0.0049412427470088005
conv_plus_iir_frozen,198,0.005182962864637375
conv_plus_iir_frozen,199,0.005249444395303726
conv_plus_iir_frozen,200,0.004911839962005615
conv_plus_iir_frozen,201,0.0052563524805009365
conv_plus_iir_frozen,202,0.005230422131717205
conv_plus_iir_frozen,203,0.005206131376326084
conv_plus_iir_frozen,204,0.004704529419541359
conv_plus_iir_frozen,205,0.0047957622446119785
conv_plus_iir_frozen,206,0.0053720250725746155
conv_plus_iir_frozen,207,0.004833271261304617
