model,step,loss
baseline_conv,0,0.005437459796667099
baseline_conv,1,0.005094564985483885
baseline_conv,2,0.005067798774689436
baseline_conv,3,0.004912776872515678
baseline_conv,4,0.00455565145239234
baseline_conv,5,0.0038871809374541044
baseline_conv,6,0.0040067629888653755
baseline_conv,7,0.004067036788910627
baseline_conv,8,0.003621391486376524
baseline_conv,9,0.0034734969958662987
baseline_conv,10,0.0036489111371338367
baseline_conv,11,0.0032555367797613144
baseline_conv,12,0.0030927828047424555
baseline_conv,13,0.002993019064888358
baseline_conv,14,0.002835668856278062
baseline_conv,15,0.002514274325221777
baseline_conv,16,0.002319818828254938
baseline_conv,17,0.0021608201786875725
baseline_conv,18,0.0019104629755020142
baseline_conv,19,0.0018996999133378267
baseline_conv,20,0.0017413950990885496
baseline_conv,21,0.0016415033023804426
baseline_conv,22,0.0014101883862167597
baseline_conv,23,0.001346729462966323
baseline_conv,24,0.001188292051665485
baseline_conv,25,0.0012941396562382579
baseline_conv,26,0.0009295322233811021
baseline_conv,27,0.0008727867971174419
baseline_conv,28,0.0009070493397302926
baseline_conv,29,0.0006643306696787477
baseline_conv,30,0.0006775825750082731
baseline_conv,31,0.0005790857248939574
baseline_conv,32,0.00050760229350999
baseline_conv,33,0.0004808389930985868
baseline_conv,34,0.00041021290235221386
baseline_conv,35,0.00036746240220963955
baseline_conv,36,0.0003450549556873739
baseline_conv,37,0.00029983435524627566
baseline_conv,38,0.00030289398273453116
baseline_conv,39,0.0003289613523520529
baseline_conv,40,0.0002797619963530451
baseline_conv,41,0.0002756260219030082
baseline_conv,42,0.0003013585810549557
baseline_conv,43,0.00030393764609470963
baseline_conv,44,0.00030246059759519994
baseline_conv,45,0.00027852243511006236
baseline_conv,46,0.0002961333957500756
baseline_conv,47,0.00032652041409164667
baseline_conv,48,0.0003073129046242684
baseline_conv,49,0.0003197460318915546
baseline_conv,50,0.0003124947543255985
baseline_conv,51,0.00030869650072418153
baseline_conv,52,0.0002788967976812273
baseline_conv,53,0.0002952764043584466
baseline_conv,54,0.0002829848090186715
baseline_conv,55,0.0002775812172330916
baseline_conv,56,0.00026679865550249815
baseline_conv,57,0.0002569016651250422
baseline_conv,58,0.0002725222148001194
baseline_conv,59,0.00025762798031792045
baseline_conv,60,0.0002648349036462605
baseline_conv,61,0.00023553920618724078
baseline_conv,62,0.0002387260610703379
baseline_conv,63,0.0002480097464285791
baseline_conv,64,0.0002253824204672128
baseline_conv,65,0.0002421617100480944
baseline_conv,66,0.0002110662462655455
baseline_conv,67,0.00025096433819271624
baseline_conv,68,0.00023681324091739953
baseline_conv,69,0.0002457609516568482
baseline_conv,70,0.00027197180315852165
baseline_conv,71,0.00025772961089387536
baseline_conv,72,0.00027655891608446836
baseline_conv,73,0.000245363888097927
baseline_conv,74,0.00024453370133414865
baseline_conv,75,0.0002504418371245265
baseline_conv,76,0.00026996369706466794
baseline_conv,77,0.00024749949807301164
baseline_conv,78,0.00025675154756754637
baseline_conv,79,0.000260433298535645
baseline_conv,80,0.00020602994482032955
baseline_conv,81,0.00021698187629226595
baseline_conv,82,0.0002551916113588959
baseline_conv,83,0.0002163937606383115
baseline_conv,84,0.0002928993199020624
baseline_conv,85,0.0002402775571681559
baseline_conv,86,0.00021755992202088237
baseline_conv,87,0.00025892796111293137
baseline_conv,88,0.00021184272191021591
baseline_conv,89,0.000263154593994841
baseline_conv,90,0.00026435585459694266
baseline_conv,91,0.0002454528002999723
baseline_conv,92,0.0002477444941177964
baseline_conv,93,0.0002524340234231204
baseline_conv,94,0.00025970221031457186
baseline_conv,95,0.00024828355526551604
baseline_conv,96,0.00025841209571808577
baseline_conv,97,0.0002463461132720113
baseline_conv,98,0.0002459445095155388
baseline_conv,99,0.000259608292253688
baseline_conv,100,0.00023928756127133965
baseline_conv,101,0.00022376664855983108
baseline_conv,102,0.00023192795924842358
baseline_conv,103,0.00025779084535315633
baseline_conv,104,0.0002812749007716775
baseline_conv,105,0.00021779055532533675
baseline_conv,106,0.00024358945665881038
baseline_conv,107,0.00024268543347716331
baseline_conv,108,0.00026482786051928997
baseline_conv,109,0.0002424469857942313
baseline_conv,110,0.0002532409562263638
baseline_conv,111,0.000250744866207242
baseline_conv,112,0.00023933823104016483
baseline_conv,113,0.00024454001686535776
baseline_conv,114,0.00023614155361428857
baseline_conv,115,0.00025693274801597
baseline_conv,116,0.00023893191246315837
baseline_conv,117,0.0002580850850790739
baseline_conv,118,0.0002512678620405495
baseline_conv,119,0.0002688779204618186
baseline_conv,120,0.00026389246340841055
baseline_conv,121,0.00023407756816595793
baseline_conv,122,0.0002494680811651051
baseline_conv,123,0.0002401674719294533
baseline_conv,124,0.00024199762265197933
baseline_conv,125,0.0002352351730223745
baseline_conv,126,0.00027855735970661044
baseline_conv,127,0.00022012487170286477
baseline_conv,128,0.00026561252889223397
baseline_conv,129,0.00022622113465331495
baseline_conv,130,0.00027554435655474663
baseline_conv,131,0.00024468800984323025
baseline_conv,132,0.00024438253603875637
baseline_conv,133,0.00024723613751120865
baseline_conv,134,0.00024223231594078243
baseline_conv,135,0.00024348637089133263
baseline_conv,136,0.00025397061835974455
baseline_conv,137,0.00025969784474000335
baseline_conv,138,0.00023856962798163295
baseline_conv,139,0.00026474054902791977
baseline_conv,140,0.00024983228649944067
baseline_conv,141,0.00023381022037938237
baseline_conv,142,0.0002506462624296546
baseline_conv,143,0.00024013558868318796
baseline_conv,144,0.000226586198550649
baseline_conv,145,0.00024674704764038324
baseline_conv,146,0.0002243732160422951
